"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"5G in Agri-Food - A Review on Current Status, Opportunities and Challenges","","","van Hilten M,Wolfert S","","2022","","10.1016/j.compag.2022.107291","https://doi-org.proxy.bnl.lu/10.1016/j.compag.2022.107291;http://dx.doi.org/10.1016/j.compag.2022.107291","Journal Article"
"A Bibliometric Methodology to Unveil Territorial Inequities in the Scientific Wealth to Combat COVID-19","In this paper we develop a methodology to assess the scientific wealth of territories at field level. Our methodology uses a bibliometric approach based on the observation of academic research performance and overall scientific production in each territory. We apply it to assess disparities in the Italian territories in the medical specialties at the front line of the COVID-19 emergency. Italy has been the first among western countries to be severely affected by the onset of the COVID-19 pandemic. The study reveals remarkable inequities across territories, with scientific weaknesses concentrated in the south. Policies for rebalancing the north–south divide should also consider, in addition to tangible assets, the gap in production and availability of quality medical knowledge.","","Abramo G,D'Angelo CA","","2021","6601–6624","10.1007/s11192-021-04017-7","https://doi-org.proxy.bnl.lu/10.1007/s11192-021-04017-7;http://dx.doi.org/10.1007/s11192-021-04017-7","Journal Article"
"A Canonical Action Research Approach to the Effective Diffusion of Information Security with Social Network Analysis","As modern organisations are using strategic information systems as their competitive advantage, the management of information security IS is regarded as a top priority. However, technical measures are no longer sufficient for protecting IS, and the prevalence of centralised IS controls and top-down approach in IS management are challenged by the dynamic socio-organisational environment. In this article, a canonical action research CAR project discusses the use of social network analysis SNA methods to design and implement a cascading IS training/diffusion, which leveraged the social dynamics in the workplace to enhance the IS-related interactions between the employees in a large construction organisation in Southeast Asia. Through the enhanced IS interactions, which involved the employees' provisions of IS resources and IS influence, results indicated an improvement in the employees' attitudes towards IS. The research outcomes advocated the effective use of SNA methods, in combination with the CAR approach, which included the network metrics and means to select the suitable champions for the diffusion of IS, as well as to measure the diffusion effectiveness. Future directions to develop new IS-related network theories and apply SNA methods to study other IS concepts are also discussed.","","Pittayachawan S,Thien DD,Kautz K,Bruno V","","2017","22–43","10.4018/IJSS.2017070103","https://doi-org.proxy.bnl.lu/10.4018/IJSS.2017070103;http://dx.doi.org/10.4018/IJSS.2017070103","Journal Article"
"A Characterization of Digital Native Approaches To Mobile Privacy and Security","Despite their familiarity with the digital, so-called 'digital natives' are not tech-savvy, particularly with respect to privacy and security. In this study we characterize this problem by looking at a cohort of South African students. We employ a web-based survey of 100 students, supplemented by in-depth interviews with 10 additional students. In both cases we inquired about, and observed knowledge of permissions, encryption and application installation practices. Our findings show that most students (80%) do not look for or understand permissions or encryption, and use location-based services unsafely. Based on these results we argue that digital natives lack the technical skills and understanding to properly engage with mobile privacy and security. We further argue that this generation has been so over-exposed to mobile requests that violate their privacy and security that they have become desensitized and their definition of privacy and security has changed. Lastly, we discuss the implications of our findings for higher education institutions, policy, and mobile application design.","","Till S,Densmore M","","2019","","10.1145/3351108.3351131","https://doi-org.proxy.bnl.lu/10.1145/3351108.3351131;http://dx.doi.org/10.1145/3351108.3351131","Conference Paper"
"A Framework for Predicting Droughts in Developing Countries Using Sensor Networks and Mobile Phones","Drought is the most complex and least understood of all natural disasters and it affects more people than any other hazard. Droughts have become synonymous with the developing countries and in particular the Sub-Saharan Africa where the hazard is chronic. Effects of droughts can be mitigated if accurate and timely drought predications were to be done. Unfortunately, despite the enormous advancements in science, predictions only provide indications of trends. A major weakness of the existing tools is the emphasis on macro/international level information. The tools also tend to ignore the at risk community who happen to be host to very crucial traditional knowledge on droughts. In this paper, we propose an integrated drought predication framework that considers both scientific and traditional knowledge and combines the use of mobile phones with wireless sensor networks to be able to capture and relay micro drought parameters. The framework is an enhancement of ITU's Ubiquitous Sensor Network (USN) Layers. In order to accommodate the diverse roles mobile phones play in our framework, Layer 2 (USN Access Networking) is implemented using three sub-layers composed of heterogeneous gateways.","","Masinde M,Bagula A","","2010","390–393","10.1145/1899503.1899551","https://doi-org.proxy.bnl.lu/10.1145/1899503.1899551;http://dx.doi.org/10.1145/1899503.1899551","Conference Paper"
"A Macro-Micro Weakly-Supervised Framework for AS-OCT Tissue Segmentation","Primary angle closure glaucoma (PACG) is the leading cause of irreversible blindness among Asian people. Early detection of PACG is essential, so as to provide timely treatment and minimize the vision loss. In the clinical practice, PACG is diagnosed by analyzing the angle between the cornea and iris with anterior segment optical coherence tomography (AS-OCT). The rapid development of deep learning technologies provides the feasibility of building a computer-aided system for the fast and accurate segmentation of cornea and iris tissues. However, the application of deep learning methods in the medical imaging field is still restricted by the lack of enough fully-annotated samples. In this paper, we propose a novel framework to segment the target tissues accurately for the AS-OCT images, by using the combination of weakly-annotated images (majority) and fully-annotated images (minority). The proposed framework consists of two models which provide reliable guidance for each other. In addition, uncertainty guided strategies are adopted to increase the accuracy and stability of the guidance. Detailed experiments on the publicly available AGE dataset demonstrate that the proposed framework outperforms the state-of-the-art semi-/weakly-supervised methods and has a comparable performance as the fully-supervised method. Therefore, the proposed method is demonstrated to be effective in exploiting information contained in the weakly-annotated images and has the capability to substantively relieve the annotation workload.","","Ning M,Bian C,Lu D,Zhou HY,Yu S,Yuan C,Guo Y,Wang Y,Ma K,Zheng Y","","2020","725–734","10.1007/978-3-030-59722-1_70","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-59722-1_70;http://dx.doi.org/10.1007/978-3-030-59722-1_70","Conference Paper"
"A Metric Space for Point Process Excitations","A multivariate Hawkes process enables self- and cross-excitations through a triggering matrix that behaves like an asymmetrical covariance structure, characterizing pairwise interactions between the event types. Full-rank estimation of all interactions is often infeasible in empirical settings. Models that specialize on a spatiotemporal application alleviate this obstacle by exploiting spatial locality, allowing the dyadic relationships between events to depend only on separation in time and relative distances in real Euclidean space. Here we generalize this framework to any multivariate Hawkes process, and harness it as a vessel for embedding arbitrary event types in a hidden metric space. Specifically, we propose a Hidden Hawkes Geometry (HHG) model to uncover the hidden geometry between event excitations in a multivariate point process. The low dimensionality of the embedding regularizes the structure of the inferred interactions. We develop a number of estimators and validate the model by conducting several experiments. In particular, we investigate regional infectivity dynamics of COVID-19 in an early South Korean record and recent Los Angeles confirmed cases. By additionally performing synthetic experiments on short records as well as explorations into options markets and the Ebola epidemic, we demonstrate that learning the embedding alongside a point process uncovers salient interactions in a broad range of applications.","","Marmarelis MG,Ver Steeg G,Galstyan A","","2022","","10.1613/jair.1.13610","https://doi-org.proxy.bnl.lu/10.1613/jair.1.13610;http://dx.doi.org/10.1613/jair.1.13610","Journal Article"
"A Multi-Scale and Multi-Model Gridded Framework for Forecasting Crop Production, Risk Analysis, and Climate Change Impact Studies","","","Shelia V,Hansen J,Sharda V,Porter C,Aggarwal P,Wilkerson CJ,Hoogenboom G","","2019","144–154","10.1016/j.envsoft.2019.02.006","https://doi-org.proxy.bnl.lu/10.1016/j.envsoft.2019.02.006;http://dx.doi.org/10.1016/j.envsoft.2019.02.006","Journal Article"
"A Neural Network-Based Point Registration Method for 3D Rigid Face Image","Intelligent detection of human face image combined with the real-time video monitoring has been applied to improve the secure and protective possibility. The registration is an indispensible step before distinguishing the variation among the images. Neural network (NN) has a strong learning ability from a mass unstructured point cloud even containing noisy data. Neural network has been applied to register 3D reconstructed ear data and 3D surface of bunny and to achieve the better results. Motivated by this idea, NN-based registration method for 3D rigid face image is proposed. This paper presented the proof process of obtaining rotation matrix and translation vector according to the training process of neural network. Then the measure index of registration performance was provided. The elaborate experiments were conducted on the 3D USF face database (provided by the University of South Florida) to verify the effectiveness of neural network as a registration method. Next, two comparisons were performed, one group was NN-based and ICP-based registration methods and the other group was our proposed NN-based and other NN-based registration methods. The experimental results showed that neural network is a robust and potential registration method for rigid face image registration. Furthermore, our proposed NN-based registration method is extended easily to do 2D-to-3D registration and non-rigid face registration.","","Chen J,Liao IY,Belaton B,Zaman M","","2015","197–214","10.1007/s11280-013-0213-9","https://doi-org.proxy.bnl.lu/10.1007/s11280-013-0213-9;http://dx.doi.org/10.1007/s11280-013-0213-9","Journal Article"
"A New Assessment Model for Evacuation Vulnerability in Urban Areas","In the high-speed urbanization process of China, the urban population has been increasing significantly, leading to a high-density aggregation of population. However, the sharp increase in population density has not produced commensurate improvements in the road networks. On the contrary, the population increase induced a serious evacuation vulnerability, which cities experience during various hazards and catastrophic events. Therefore, research on evacuation vulnerability is important to urban planning. To assess the evacuation vulnerability, the optimal and worst scenarios should be considered because all possible evacuation plans occur between these extremes. However, most previous evacuation vulnerability studies are based on the worst-case scenario, only providing an upper bound of a potential evacuation assessment. To provide a more comprehensive theoretical basis for decision-makers to understand the consequences caused by all possible evacuations, this paper proposes an optimal evacuation vulnerability assessment model that provides the lower bound on potential evacuation difficulties. The model is solved by a stepwise spreading algorithm based on Graph Theory. Subsequently, to evaluate the effectiveness of the model, the study adopts the model to assess the evacuation capability of different road network topologies. A comparison with previous research was performed. The model was demonstrated in an application to the South Luogu Alley of Beijing, China. The significance of this paper is that the combination of our model with previous research may provide a more complete theoretical basis for an evacuation vulnerability assessment.","","Ma X,Pei T,Song C,Zhou C","","2016","2401–2420","","","Journal Article"
